รหัสโครงงาน,ชื่ออาจารย์ที่ปรึกษาโครงงาน,หัวข้อโครงงาน (ภาษาไทย),หัวข้อโครงงาน(ภาษาอังกฤษ),คลิปนำเสนอแบบสั้น (ไม่เกิน 5 นาที),คลิปนำเสนอแบบยาว (ไม่เกิน 20 นาที)
DUS-01,ผศ.ดร. ดุสิต ธนเพทาย,การออกแบบวงจรภาคส่งของตัวอ่านข้อมูลเอนเอฟซี,Digital IC design: Transmission part of NFC reader,https://youtu.be/8YZ2JeIFQH8,https://youtu.be/gSpD_19bpak
DUS-02,ผศ.ดร. ดุสิต ธนเพทาย,อุปกรณ์ทดสอบภาวะสูญเสียความรู้สึกที่เท้าของผู้ป่วยเบาหวาน,Insensate Foot Diagnostic Equipment for Diabetic Patients,https://youtu.be/lHP-mzqvvaw,https://youtu.be/9124Vy_1bNE
ECP-01,รศ.ดร.เอกชัย ไพศาลกิตติสกุล,การวิเคราะห์ความรู้สึกจากภาพใบหน้าและเสียงพูดด้วย Machine Learning,Sentiment Analysis of face expression and speech signal using Machine Learning Algorithms,https://youtu.be/Ym87uEEyk_g,https://youtu.be/LFyCQmPaAQU
KPSC-01,ผศ.ดร.กาญจนพันธ์ สุขวิชชัย,ระบบควบคุมความแรงพัดลมอัตโนมัติ,Automatic Fan Speed Control System,https://youtu.be/vh36Xxf33mw,https://youtu.be/GFUMRDLbMTg
KSH-02,รศ.ดร.คมสันต์ หงษ์สมบัติ,การออกแบบและวิเคราะห์ผลตอบแทนทางเศรษฐศาสตร์ระบบผลิตไฟฟ้าแสงอาทิตย์บนหลังคาเพื่อลดการใช้พลังงานภายในอาคารคณะวิศวกรรมไฟฟ้ามหาวิทยาลัยเกษตรศาสตร์บางเขน,Design and Economic Return Analysis of Solar Rooftop Power Generation System to Reduce Consumption in the Electrical Engineering Building at Kasetsart University Bangkhen,https://www.youtube.com/watch?v=NSevzVCPZFA,https://www.youtube.com/watch?v=IV6zwR24LGk
KSH-03,รศ.ดร.คมสันต์ หงษ์สมบัติ,การทำแผนที่โครงข่ายไฟฟ้าใต้ดินด้วยโปรแกรม QGIS,Mapping of underground electricity network using QGIS software,https://youtu.be/CPSXZH13a8g,https://youtu.be/pyHRRucNPtY
KSH01,รศ.ดร.คมสันต์ หงษ์สมบัติ,การจำลองการติดตั้งระบบพลังงานแสงอาทิตย์บนหลังคาลานจอดรถ,Simulation of Solar Rooftop Installation on Parking roof,https://youtu.be/3zp122idXtM ,https://youtu.be/An7Wwzj6Ue4 
MTR-02,รศ.ดร.มิติ รุจานุรักษ์,การจำแนกรอยผิวด้วยการเรียนรู้เชิงลึกเน้นประยุกต์ใช้ในภาคอุตสาหกรรม,Metal surface scratch classification using deep learning for industrial applications,https://youtu.be/P5TLVwmDvTY,https://youtu.be/N77-gLBFNzU
NAR-01,อ.ดร. ณิชเบญญา จันทนจุลกะ ฤกษ์หร่าย,การติดตั้งแผงเซลล์แสงอาทิตย์สำหรับการเกษตร,Apply PV System for Agricultural Purpose,https://youtu.be/jlpIWzIaevU,https://youtu.be/vvxJSRyXrnc
NAR-02,อ.ดร. ณิชเบญญา จันทนจุลกะ ฤกษ์หร่าย,การติดตั้งแผงเซลล์แสงอาทิตย์ในบ้านพักอาศัย,Applying PV in Residential House,https://youtu.be/eC83n6xdmEs,https://youtu.be/iuyBS-6YpSI
NAR-03,อ.ดร. ณิชเบญญา จันทนจุลกะ ฤกษ์หร่าย,"โดรนเพื่อการเกษตรโดยใช้พลังงานจากเซลล์แสงอาทิตย์
",PV Charging Station for Agricultural Drones,https://youtu.be/S7vLzRFG0rU,https://youtu.be/fi_mCEUvBBQ
NAR-04,อ.ดร. ณิชเบญญา จันทนจุลกะ ฤกษ์หร่าย,การใช้เซลล์แสงอาทิตย์กับเครื่องสูบน้ำในอาคาร,Apply PV System with Pump in the Building,https://youtu.be/QVl2MNqAi-M,https://youtu.be/1UTTLjVMbHE
NAR-05,อ.ดร. ณิชเบญญา จันทนจุลกะ ฤกษ์หร่าย,การใช้เซลล์แสงอาทิตย์ควบคู่กับเครื่องประจุรถยนต์ไฟฟ้าในระดับครัวเรือน,Apply PV with EV Charger in Residential House,https://youtu.be/Vm-1qQ4gWic,https://youtu.be/DsXw0YqilzE
NAR-06,อ.ดร. ณิชเบญญา จันทนจุลกะ ฤกษ์หร่าย,การประยุกต์ใช้ระบบเซลล์แสงอาทิตย์ในบ่อเลี้ยงกุ้ง,Apply PV System with Shrimp Farm.,https://www.youtube.com/watch?v=5z5TXHh-jng,https://www.youtube.com/watch?v=o92W0rWtSLA
NPTE-01,ผศ.ดร. นิธิพัฒน์ ทีรฆวณิช,การควบคุมมอเตอร์สำหรับ Electric vehicle โดยจำลองผ่าน Hardware in the loop,Motor control for electric vehicle simulated by hardware in the loop,https://youtu.be/3ZIJAKZXmwI,https://youtu.be/2B1MVdlBpOs
NRT-01,อ.ดร. เนาวรัตน์ เทพหริรักษ์,การศึกษาระบบกักเก็บพลังงานแบบไฮบริดเพื่อประยุกต์ใช้งามร่วมกับพลังงานหมุนเวียน,A Study of Hybrid Energy Storage Systems for Renewable Energy Application,https://www.youtube.com/watch?v=6DsQDqeCpVc,https://www.youtube.com/watch?v=qCvKRY6-r_Q
NRT-02,อ.ดร. เนาวรัตน์ เทพหริรักษ์,การพัฒนาโปรแกรม DIgSILENT ร่วมกับ Python เพื่อหาตำแหน่งความผิดพร่องในระบบจำหน่ายไฟฟ้า,Developing DIgSILENT with Python to locate faults in the power distribution system,https://youtu.be/TU8USx4-Nx8,https://youtu.be/SRIrSEahWjw
NRT-02,อ.ดร. เนาวรัตน์ เทพหริรักษ์,การพัฒนาโปรแกรม DIgSILENT ร่วมกับ Python เพื่อหาตำแหน่งความผิดพร่องในระบบจำหน่ายไฟฟ้า,Developing DIgSILENT with Python to locate faults in the power distribution system,https://youtu.be/TU8USx4-Nx8,https://youtu.be/SRIrSEahWjw
NRT-03,อ.ดร. เนาวรัตน์ เทพหริรักษ์,การออกแบบระบบไฟฟ้าสำหรับอาคารสีเขียว,Electrical System Design for a Green Building,https://youtu.be/Ug-A3pzxVN4,https://youtu.be/-6g7kimdO4M
NRT-04,อ.ดร. เนาวรัตน์ เทพหริรักษ์,การศึกษาแผนการดำเนินธุรกิจของพลังงานแสงอาทิตย์ที่ติดตั้งบนหลังคา,A Study of Solar PV Rooftop Business Model,https://youtu.be/8-ujmNOdn8w,https://youtu.be/EtmY_U0gVTY
NRT-05,อ.ดร. เนาวรัตน์ เทพหริรักษ์,การออกแบบการแสดงผลแบบอัตโนมัติของการประมาณราคาก่อสร้างเคเบิลใต้ดิน,Automated Display Design of Underground Power Cable Construction Cost Estimation,https://www.youtube.com/watch?v=l8wvm8p4U68,https://youtu.be/aETZXTnXx0s
NTK-01,รศ.ณัฐวุฒิ ขวัญแก้ว,ระบบควบคุมหุ่นยนต์เพื่อการศึกษาโดยใช้เทคโนโลยี IoT ผ่านเครือข่ายอินเทอร์เน็ตไร้สาย,IoT Robot Control System for Education,https://youtu.be/acVcp_gkqhw,https://youtu.be/oJIqhuQf07s
NWC-01,อ.ณัฐวุฒิ ชินธเนศ,การควบคุมอัติโนมัติสำหรับแบบจำลองกระบวนการผลิตในงานอุตสาหกรรม (FESTO Plant) ส่วนที่ 1,"Automatic Control for Festo Manufacturing Plant , Part1",https://youtu.be/wRv-lqg7zik,https://youtu.be/tp8Mi2-J2ec
NWC-02,อ.ณัฐวุฒิ ชินธเนศ,การควบคุมอัตโนมัติสำหรับแบบจำลองกระบวนการผลิตในงานอุตสาหกรรม ส่วนที่ 2,Automatic Control for Festo Manufacturing Plant (Part 2),https://www.youtube.com/watch?v=40AnIhl46ZY,https://www.youtube.com/watch?v=wpZfW9MzYpM
NWC-03,อ.ณัฐวุฒิ ชินธเนศ,การศึกษาการใช้โปรแกรม Factory IO สำหรับการควบคุมอัตโนมัติของกระบวนการผลิตในงานอุตสาหกรรม,A Study of  Factory IO program for industrial manufacturing automatic control,https://youtu.be/gzT_b_9Sklw,https://youtu.be/LAK3aCj8VUc
NWC-04,อ.ณัฐวุฒิ ชินธเนศ,ระบบการจัดการคลังสินค้าอัจฉริยะโดยใช้ระบบควบคุมอัตโนมัติร่วมกับระบบเครือข่าย IoT,Smart Warehouse Management System by using PLC and IoT,bit.ly/3Uj12b5,bit.ly/3UidrfG
NWC-05,อ.ณัฐวุฒิ ชินธเนศ,ระบบติดตามการทำงานของระบบสายพานลำเลียงในงานอุตสาหกรรมโดยใช้ PLC และไมโครคอนโทรลเลอร์ร่วมกับระบบฐานข้อมูล,Traceability system in industrial handling system by using PLC and microcontroller with database system,https://www.youtube.com/watch?v=bqut-SySZl0&t=61s,https://www.youtube.com/watch?v=DhuNd9ZdS-I&t=1s
PIR-01,อ.ดร. พิสุทธิ์ รพีศักดิ์,การพัฒนาโปรแกรมการประเมิณค่าความเสียหายเนื่องจากไฟฟ้าขัดข้องสำหรับข้อมูลขนาดใหญ่,Development of Power outage cost Assessment Program for a big Data,https://youtu.be/255rZRa0aEw,https://youtu.be/3iChB6vyLNg 
PIR-02,อ.ดร. พิสุทธิ์ รพีศักดิ์,โมเดลพยากรณ์การเกิดไฟดับจากต้นไม้ในระบบจำหน่ายไฟฟ้าโดยใช้เทคนิคแมชชีนเลิร์นนิง,Machine Learning Models for Predicting Vegetation Related Outages in Power Distribution Systems,https://youtu.be/bk4WzJHVLCw,https://youtu.be/MF0v-oQB3Kk
PJD-01,ผศ.ดร.ปานจิต ดำรงกุลกำจร,การศึกษา Building Information Modeling (BIM) สำหรับการออกแบบระบบไฟฟ้าในอาคารสถานศึกษา,The Study of Building Information Modeling (BIM) for Electrical System Design in Educational Buildings,https://youtu.be/1zNHvBQyrsU,https://youtu.be/sf-0hSa6KMw
PJD-02,ผศ.ดร.ปานจิต ดำรงกุลกำจร,การใช้ Building Information Modeling (BIM) สำหรับระบบไฟฟ้า และระบบสัญญาณในโรงแรม,The study of Building Information Modeling (BIM) for electrical system and signal system in hotel,https://www.youtube.com/watch?v=9dRO-32UiKU&t=31s,https://www.youtube.com/watch?v=zY9gs3nSd9c&t=3s
PJD-03,ผศ.ดร.ปานจิต ดำรงกุลกำจร,การประมาณราคาระบบไฟฟ้าและสื่อสารภายในอาคาร,"PRICE ESTIMATION FOR ELECTRICAL AND COMMUNICATION SYSTEM 
IN BUILDINGS",https://youtu.be/ZQ-k7RqXXbw,https://youtu.be/i6rjrK3HvY4
PJD-03,ผศ.ดร.ปานจิต ดำรงกุลกำจร,การประมาณราคาระบบไฟฟ้าและสื่อสารในอาคาร,Price Estimation for Electrical and Communication Systems in Building,https://youtu.be/ZQ-k7RqXXbw,https://youtu.be/i6rjrK3HvY4
PJD-04,ผศ.ดร.ปานจิต ดำรงกุลกำจร,การศึกษา Building Information Modeling (BIM) สำหรับระบบไฟฟ้าและระบบสัญญาณในห้างสรรพสินค้า,"The Study of Building Information Modeling (BIM) for Electrical and Signal 
systems in Department Stores",https://www.youtube.com/watch?v=10s_8DP7aig,https://www.youtube.com/watch?v=aJIAV_qOXZA
PJD-05,ผศ.ดร.ปานจิต ดำรงกุลกำจร,การศึกษา Building Information Modeling (BIM) สำหรับระบบไฟฟ้าและระบบสัญญาณในอาคารชุดพักอาศัย,The study of Building Information Modeling (BIM) for electrical and signal systems in Condominium,https://youtu.be/wloD5BXlsxs,https://youtu.be/jYher4o5CyU
PJD-06,ผศ.ดร.ปานจิต ดำรงกุลกำจร,การศึกษา Building Information Modeling (BIM) สำหรับระบบไฟฟ้าและระบบสัญญาณในอาคารสำนักงาน,The study of Building Information Modeling (BIM) for electrical and signal systems in office building,https://youtu.be/_7jeC3cGe_E,https://youtu.be/ViO_owyuoHc
PST-01,ผศ.ดร.พันศักดิ์ เทียนวิบูลย์,การจำแนกโรคใบด่างมันสำปะหลังจากภาพด้วยการเรียนรู้ของเครื่อง,Image Classification for Cassava Mosaic Disease using Machine Learning,https://youtu.be/0muVrVivM8I,https://youtu.be/WKRf3jtlh8w
PST-03,ผศ.ดร.พันศักดิ์ เทียนวิบูลย์,การพยากรณ์ยาสำหรับผู้ป่วยโรคไตเรื้อรังด้วยการเรียนรู้ของเครื่อง,Drug recommendation for patients with chronic kidney disease using machine learning,https://youtu.be/iMlPORb5aCA,https://youtu.be/zMyQM9l75lA
PST002,ผศ.ดร.พันศักดิ์ เทียนวิบูลย์,การจำแนกประเภทโรคอัลไซเมอร์จากภาพถ่าย MRI ด้วยการเรียนรู้ของเครื่อง,MRI base Alzheimer's Disease classification using machine learning,https://www.youtube.com/watch?v=xNYCmcRzToI,https://www.youtube.com/watch?v=r97HeymLAQA
PYP-01,รศ.ดร.พีระยศ แสนโภชน์,หุ่นยนต์วาดรูปจากการประมวลผลภาพดิจิตอลและการควบคุมข้อต่ออิสระ,Drawing Robot By Image Processing with Independent joint control,https://youtu.be/H9vDhRj5MA8,https://youtu.be/ZkKTawEW5yg
PYP-01,รศ.ดร.พีระยศ แสนโภชน์,หุ่นยนต์วาดรูปจากการประมวลผลภาพดิจิตอลและการควบคุมข้อต่ออิสระ,Drawing Robot By Image Processing with Independent joint control,https://youtu.be/H9vDhRj5MA8,https://youtu.be/ZkKTawEW5yg
PYP-02,รศ.ดร.พีระยศ แสนโภชน์,การประยุกต์ใช้ ROS2 ในการจำลองเรือใบอัตโนมัติ,An Autonomous Sailboat Simulation using ROS2,https://www.youtube.com/watch?v=2Hl-vifoNGU,https://www.youtube.com/watch?v=o18yEvvfpjE
PYP-03,รศ.ดร.พีระยศ แสนโภชน์,การเก็บข้อมูลบนคลาวล์ของแขนหุ่นยนต์ และ สายพานในงานระบบอุตสาหกรรมอัตโนมัติ,Cloud Storage for Robotic Arms and Conveyors in Automated Industrial Systems,https://youtu.be/v0dw-GmjNJU,https://youtu.be/rFtq31jE1xc
PYP-04,รศ.ดร.พีระยศ แสนโภชน์,การสร้างแบบจำลองและการวิเคราะห์การเคลื่อนไหวของเเขนหุ่นยนต์แบบ Articulated,Modeling and Motion Analysis of Articulated Robot Manipulator,https://www.youtube.com/watch?v=8XJIPy5DNjA&feature=youtu.be,https://www.youtube.com/watch?v=Nm9uKzXMZmw&feature=youtu.be
PYP-05,รศ.ดร.พีระยศ แสนโภชน์,การควบคุมการสั่นสะเทือนแบบใช้พลังงานในอาคารภายใต้กิจกรรมแผ่นดินไหว,Active Vibration Control in Buildings under Seismic Activity,https://youtu.be/2NIdP0Rs-6Q,https://youtu.be/ukWgyLJdrT8
SCDT-01,ผศ.ดร.สัญชัย เดชานุภาพฤทธา,การพัฒนาระบบสังเกตการณ์และแสดงผลแบบเรียลไทม์ด้วยการวัดแบบประสานเวลาสำหรับโครงข่ายไฟฟ้าอัจฉริยะ,Development of synchrophasor based real-time data monitoring and visualization system for smart grid,https://youtu.be/rDXpDJAKx9Q,https://youtu.be/JqvCUEfYMfI
SCDT-01,ผศ.ดร.สัญชัย เดชานุภาพฤทธา,การพัฒนาระบบสังเกตการณ์และแสดงผลแบบเรียลไทม์ด้วยการวัดแบบประสานเวลาสำหรับโครงข่ายไฟฟ้าอัจฉริยะ,Development of synchrophasor based real-time data monitoring and visualization system for smart grid,https://youtu.be/rDXpDJAKx9Q,https://youtu.be/JqvCUEfYMfI
SCDT-02,ผศ.ดร.สัญชัย เดชานุภาพฤทธา,การพัฒนาวิธีประมาณค่าสถานะสำหรับสมาร์ทกริดด้วยเทคนิค Deep Neural Network (DNN),Deep Neural Network (DNN) based state estimation and real-time power flow for smart grid,https://youtu.be/iZ-XWft-oYE,https://youtu.be/UZu_kmf-QZA
SCDT-03,ผศ.ดร.สัญชัย เดชานุภาพฤทธา,การพัฒนาระบบโครงข่ายไฟฟ้าอัจฉริยะใน Typhoon HIL real - time simulator,Development of smart grid system in Typhoon HIL real - time simulator,https://youtu.be/arnLwg0wxRU,https://youtu.be/KAZ_kDlV-_4
SCDT-04,ผศ.ดร.สัญชัย เดชานุภาพฤทธา,การประมาณค่าความสามารถในการถ่ายโอนกำลังไฟฟ้าสูงสุดด้วยเทคนิคการเรียนรู้เชิงลึก,Estimation of total transfer capability based on deep learning technique,https://youtu.be/tAtLRJv3E8I,https://youtu.be/RjQkO4fBfXQ
SIR-01,รศ.ดร. ศิริโรจน์ ศิริสุขประเสริฐ,การควบคุมคุณภาพแรงดันไฟฟ้าในระบบจำหน่ายไฟฟ้าที่มีการติดตั้งเซลล์แสงอาทิตย์บนหลังคา,Voltage Quality Control in Power Distribution Systems with Integrated Rooftop Photovoltaics,https://youtu.be/cY1a-MqhVzQ,https://youtu.be/tnTT8TF_ig8
SIR-02,รศ.ดร. ศิริโรจน์ ศิริสุขประเสริฐ,การศึกษาและออกแบบการจัดการพลังงานสำหรับตู้สับเปลี่ยนแบตเตอรี่จักรยานยนต์ไฟฟ้า,Study and Design of Energy Management for E-bike Battery Swapping Stations,https://youtu.be/maGr7pOHElI,https://youtu.be/OzBUqOc_voU
SIR-03,รศ.ดร. ศิริโรจน์ ศิริสุขประเสริฐ,การศึกษาการจัดการพลังงานและการออกแบบระบบกักเก็บพลังงานสำหรับบ้านอยู่อาศัย,The study on Energy Management and Electrical Energy Storage designed for Residential load,https://youtu.be/wccb3SpYukg,https://youtu.be/MHXOyw67lFU
SJM-01,รศ.ดร.ศรีจิตรา เจริญลาภนพรัตน์,การใช้บล็อกเชนในการเก็บข้อมูลจากเซ็นเซอร์และใช้ควบคุมระบบขับเคลื่อนมอเตอร์ผ่านทางเว็บแอปพลิเคชัน,Blockchain implementation to fetch data from sensors and operate motor drive system through web application,https://youtu.be/z0LHiOZhuz0,https://youtu.be/5_CT4pyi_K8
SJM-02,รศ.ดร.ศรีจิตรา เจริญลาภนพรัตน์,"การสร้างแพลตฟอร์มเพื่อส่งเสริมการค้าสินค้าออแกนิก
โดยใช้บล็อกเชน",    Creating a Platform to Promote Trade in Organic Products Using Blockchain,https://youtu.be/Iz_uFfZVRyE,https://youtu.be/qJAb1r-TCxM
TNK-01,ผศ.ดร.ธนากร ฆ้องเดช,การออกแบบอุปกรณ์เพื่อรับสัญญาณโทรทัศน์ภาคพื้นดิน DVB-T2 และอุปกรณ์ที่เกี่ยวข้อง,"Designing devices to receive terrestrial television signals
(DVB T2) and other equipment",https://youtu.be/o5_wCqwj_uY,https://youtu.be/enlPAP9FNNc
TNK-02,ผศ.ดร.ธนากร ฆ้องเดช,ความสูญเสียในอุปกรณ์รับสัญญาณโทรทัศน์ภาคพื้นดิน,Losses in terrestrial television equipments,shorturl.at/ijkw7,shorturl.at/hTUW4
TPJ-01,ผศ.ดร.ถิระภัทร จริยะนรวิชช์,การสร้างและการใช้ประโยชน์จากลำดับคิวอาร์โค้ดที่เปลี่ยนแปลงได้ตามสถานที่และเวลา,"Generation & Implementation of Dynamic QR Code
Sequencing based on Location and Time",https://youtu.be/tewo7nTGGGA,https://youtu.be/eHIBcff95Ds
TPJ-02,ผศ.ดร.ถิระภัทร จริยะนรวิชช์,ระบบการชำระเงินด้วยเงื่อนไขการระบุพิกัดผ่านเครือข่ายบล็อกเชนด้วย GPS และสัญญาอัจฉริยะ,Dynamic Location Payment with Blockchain Technology by GPS and Smart Contract,https://youtu.be/HBFwuvQTwcw,https://youtu.be/jzE8suDsckM
TPJ-02,ผศ.ดร.ถิระภัทร จริยะนรวิชช์,ระบบการชำระเงินด้วยเงื่อนไขการระบุพิกัดผ่านเครือข่ายบล็อกเชนด้วย GPS และสัญญาอัจฉริยะ,Dynamic Location Payment with Blockchain Technology by GPS and Smart Contract,https://youtu.be/HBFwuvQTwcw,https://youtu.be/jzE8suDsckM
TSK-01,ผศ.ดร.ธีรสิทธิ์ เกษตรเกษม,การระบุพื้นที่น้ำท่วมในภาพ SAR ด้วยกลไก Attention,An Attention Mechanism Approach For Flooded Areas Identification in SAR Images,https://youtu.be/s6I89DiFIbY,https://youtu.be/5jOmq9zoadY
TSK-02,ผศ.ดร.ธีรสิทธิ์ เกษตรเกษม,การวาดขอบแปลงนาจากการสำรวจระยะไกล,A Rice Paddy Extraction method from Remotely Sensed Images,https://youtu.be/ld9Wv8gKC9s,https://youtu.be/wvQYhW8Uk5s
TSK-02,ผศ.ดร.ธีรสิทธิ์ เกษตรเกษม,การวาดขอบแปลงนาจากการสำรวจระยะไกล,A Rice Paddy Extraction method from Remotely Sensed Images,https://youtu.be/ld9Wv8gKC9s,https://youtu.be/wvQYhW8Uk5s
TSK-02,ผศ.ดร.ธีรสิทธิ์ เกษตรเกษม,การวาดขอบแปลงนาจากการสำรวจระยะไกล,A Rice Paddy Extraction method from Remotely Sensed Images,https://youtu.be/ld9Wv8gKC9s,https://youtu.be/wvQYhW8Uk5s
TSK03,ผศ.ดร.ธีรสิทธิ์ เกษตรเกษม,การกำจัดเมฆด้วยการรวมภาพซาร์ (SAR) และการใช้รีโมตเซนซิ่งในช่วงคลื่นแสง,A deep learning approach for Cloud Removal by fusing SAR and Optical Remote Sensing Images,https://www.youtube.com/watch?v=t4wjCj2xy9E,https://www.youtube.com/watch?v=SxXyNWRe9Yg
UNT-01,รศ.ดร.อุศนา ตัณฑุลเวศม์,การสร้างตัวถอดรหัสเวกเตอร์ซิมโบลแบบซับซ้อนต่ำสำหรับรหัสบล็อกน็อนไบนารีแบบเป็นระบบบนบอร์ดราสเบอร์รีพาย,Implementation of low complexity Vector Symbol Decoder for systematic nonbinary block codes on Raspberry-pi board,https://youtu.be/xirvXGaU9pY,https://youtu.be/h8NR3UgUbf8
UNT-02,รศ.ดร.อุศนา ตัณฑุลเวศม์,การวิเคราะห์ประสิทธิภาพของเทคนิคการร้องขอให้ส่งซ้ำบางส่วน,Performance Analysis of Partial Retransmission ARQ Techniques,https://youtu.be/aFleqDeyHFY,https://youtu.be/QzFr6W5UWFk
VPA-01,ศ.ดร.วุฒิพงศ์ อารีกุล,การรู้จำภาพถ่ายลายนิ้วมือผ่านสมาร์ทโฟน,Smartphone Finger Photo Recognition,https://youtu.be/eZ4Hjh_YvYo,https://youtu.be/zeOWpjvJ9io
VPA-02,ศ.ดร.วุฒิพงศ์ อารีกุล,การตรวจจับปลายนิ้วและแบ่งแยกจากภาพนิ้วมือถ่ายจากสมาร์ทโฟน,Smartphone Finger Photo Detection and Segmentation,https://youtu.be/cEBe6SLu70Q,https://youtu.be/AA0UJ8h4TVw
VPA-03,ศ.ดร.วุฒิพงศ์ อารีกุล,การตรวจสอบคุณภาพลายนิ้วมือจากภาพนิ้วมือถ่ายจากสมาร์ทโฟน,Smartphone Finger Photo Quality Assessment,https://youtu.be/aixAwgqMgYQ,https://youtu.be/EsP-HZqINuU
WDW-01,รศ.ดร. วรดร วัฒนพานิช,การพัฒนาเอนเอฟซีเซ็นเซอร์แท็กด้วยเทคโนโลยีการผลิตวงจรรวมยืดหยุ่น,NFC sensor tag development using industrial flexible integrated circuit process,https://youtu.be/pCWFnUnFMts,https://youtu.be/NS37dJRqlCQ
WDW-01,รศ.ดร. วรดร วัฒนพานิช,การพัฒนาเอนเอฟซีเซ็นเซอร์แท็กด้วยเทคโนโลยีการผลิตวงจรรวมยืดหยุ่น,NFC sensor tag development using industrial flexible integrated circuit process,https://youtu.be/pCWFnUnFMts,https://youtu.be/NS37dJRqlCQ
WDW-01,รศ.ดร. วรดร วัฒนพานิช,การพัฒนาเอนเอฟซีเซ็นเซอร์แท็กด้วยเทคโนโลยีการผลิตวงจรรวมยืดหยุ่น,NFC sensor tag development using industrial flexible integrated circuit process,https://youtu.be/pCWFnUnFMts,https://youtu.be/NS37dJRqlCQ
WNP-01,ผศ.ดร.วินัย พฤกษะวัน,การออกแบบสถานีอัดประจุไฟฟ้า และวิเคราะห์ผลตอบแทนทางเศรษฐศาสตร์,Design of EV Charging Station and Economic Return Analysis,https://youtu.be/UVnX7XRb5E0,https://youtu.be/EFbZP76IXVg
